nombre_variable,codigo_categoria,categoria
AREA,05,Medellín AM
AREA,08,Barranquilla AM
AREA,11,Bogotá DC
AREA,13,Cartagena
AREA,15,Tunja
AREA,17,Manizales AM
AREA,18,Florencia
AREA,19,Popayán
AREA,20,Valledupar
AREA,23,Montería
AREA,27,Quibdó
AREA,41,Neiva
AREA,44,Riohacha
AREA,47,Santa Marta
AREA,50,Villavicencio
AREA,52,Pasto
AREA,54,Cúcuta AM
AREA,63,Armenia
AREA,66,Pereira AM
AREA,68,Bucaramanga AM
AREA,70,Sincelejo
AREA,73,Ibagué
AREA,76,Cali AM
CLASE,1,Urbano
CLASE,2,Rural
DPTO,05,Antioquia
DPTO,08,Atlántico
DPTO,11,Bogotá DC
DPTO,13,Bolívar
DPTO,15,Boyacá
DPTO,17,Caldas
DPTO,18,Caquetá
DPTO,19,Cauca
DPTO,20,Cesar
DPTO,23,Córdoba
DPTO,25,Cundinamarca
DPTO,27,Chocó
DPTO,41,Huila
DPTO,44,La guajira
DPTO,47,Magdalena
DPTO,50,Meta
DPTO,52,Nariño
DPTO,54,Norte de santander
DPTO,63,Quindio
DPTO,66,Risaralda
DPTO,68,Santander
DPTO,70,Sucre
DPTO,73,Tolima
DPTO,76,Valle del cauca
P3038,1,Hombres
P3038,2,Mujeres
P3038,3,Ambos sexos
P3038,4,Otro ¿Cuál?
P3039,1,Hombre
P3039,2,Mujer
P3039,3,Hombre trans
P3039,4,Mujer trans
P3039,5,Otro ¿Cuál?
P3041,1,Pública
P3041,2,Privada
P3042,1,Ninguno
P3042,10,Universitaria
P3042,11,Especialización
P3042,12,Maestría
P3042,13,Doctorado
P3042,2,Preescolar
P3042,3,Básica primaria (1o - 5o)
P3042,4,Básica secundaria (6o - 9o)
P3042,5,Media académica (Bachillerato clásico)
P3042,6,Media técnica (Bachillerato técnico)
P3042,7,Normalista
P3042,8,Técnica profesional
P3042,9,Tecnológica
P3042,99,"No sabe, no informa"
P6050,1,Jefe (a) del hogar
P6050,2,"Pareja, esposo(a), cónyuge, compañero(a)"
P6050,3,"Hijo(a), hijastro(a)"
P6050,4,Nieto(a)
P6050,5,Otro pariente
P6050,6,Empleado(a) del servicio doméstico y sus parientes
P6050,7,Pensionista
P6050,8,Trabajador
P6050,9,Otro no pariente
P6070,1,No esta casado(a) y vive en pareja hace menos de dos años
P6070,2,No esta casado (a) y vive en pareja hace dos años o más
P6070,3,Esta casado (a)
P6070,4,Esta separado (a) o divorciado (a)
P6070,5,Esta viudo (a)
P6070,6,Esta soltero (a)
P6071,1,Sí
P6071,2,No
P6080,1,Indígena
P6080,2,Gitano (a) (Rom)
